@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 137\nSize of the tree: 146\n','Number of leaves: 139\nSize of the tree: 150\n','Number of leaves: 140\nSize of the tree: 152\n','Number of leaves: 142\nSize of the tree: 156\n','Number of leaves: 356\nSize of the tree: 499\n','Number of leaves: 141\nSize of the tree: 154\n','Number of leaves: 351\nSize of the tree: 489\n','Number of leaves: 350\nSize of the tree: 487\n','Number of leaves: 136\nSize of the tree: 144\n','Number of leaves: 360\nSize of the tree: 507\n','Number of leaves: 138\nSize of the tree: 148\n','Number of leaves: 135\nSize of the tree: 142\n','Number of leaves: 143\nSize of the tree: 158\n','Number of leaves: 353\nSize of the tree: 493\n','Number of leaves: 354\nSize of the tree: 495\n','Number of leaves: 144\nSize of the tree: 160\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5121,568,510,58,0,89.788732,10.211268,0,0.881225,0.008584,0.082048,11.935974,43.281188,1984.108745,56936.956046,-54952.847301,3.493149,100.24112,-96.747971,1766.341227,3.109756,89.024416,0.933962,99,0.034632,16,0.965368,446,0.066038,7,0.86087,0.933962,0.895928,0.871957,0.966767,0.923766,0.897887,0.018043,0.981957,0.102113,0.897935,0.897887,0.8961,0.880828,0.94929,0.891826,0.921088,0.897887,0.047,0.004,0.046875,0,46.875,0,337001,649216,80091,90.669014,4.782864,'Number of leaves: 356\nSize of the tree: 499\n',499,356,356
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,527,42,0,92.618629,7.381371,0,0.913995,0.007209,0.061954,10.024683,32.682019,1989.104054,9799.983036,-7810.878982,3.495789,17.223169,-13.72738,1817.398914,3.194023,91.367715,0.943396,100,0.012959,6,0.987041,457,0.056604,6,0.943396,0.943396,0.943396,0.930437,0.992981,0.983283,0.926186,0.016382,0.983618,0.073814,0.933619,0.926186,0.926804,0.915043,0.98913,0.967205,0.93102,0.926186,0.072,0.005,0.0625,0,62.5,0,114707,649091,80216,98.242531,7.48389,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,528,41,0,92.794376,7.205624,0,0.915934,0.007809,0.062981,10.859946,33.230634,1986.687735,2329.972433,-343.284698,3.491543,4.094855,-0.603312,1807.642327,3.176876,90.987743,0.943396,100,0.008639,4,0.991361,459,0.056604,6,0.961538,0.943396,0.952381,0.941671,0.996108,0.985339,0.927944,0.01622,0.98378,0.072056,0.937304,0.927944,0.929179,0.918373,0.994669,0.966241,0.933492,0.927944,0.06,0.003,0.046875,0,46.875,0,115951,649091,80216,98.769772,7.923257,'Number of leaves: 141\nSize of the tree: 154\n',154,141,141
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,523,46,0,91.915641,8.084359,0,0.905683,0.008197,0.065272,11.400556,34.439713,1986.590115,7698.09236,-5711.502245,3.491371,13.529161,-10.03779,1778.273836,3.125262,89.513877,0.933962,99,0.025918,12,0.974082,451,0.066038,7,0.891892,0.933962,0.912442,0.892188,0.99565,0.97977,0.919156,0.01561,0.98439,0.080844,0.924456,0.919156,0.918038,0.907609,0.990055,0.95499,0.90086,0.919156,0.059,0.003,0.0625,0,62.5,0,113463,649091,80216,97.71529,7.952548,'Number of leaves: 139\nSize of the tree: 150\n',150,139,139
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,527,42,0,92.618629,7.381371,0,0.914092,0.007338,0.062566,10.204472,33.010525,1988.93412,4468.215138,-2479.281017,3.495491,7.852751,-4.35726,1825.06155,3.20749,91.760784,0.990566,105,0.032397,15,0.967603,448,0.009434,1,0.875,0.990566,0.929204,0.914474,0.99459,0.991144,0.926186,0.015386,0.984614,0.073814,0.932367,0.926186,0.926356,0.914508,0.992663,0.963784,0.951004,0.926186,0.043,0.001,0.03125,0,31.25,0,110975,649091,80216,98.945518,8.150264,'Number of leaves: 137\nSize of the tree: 146\n',146,137,137
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,499,70,0,87.697715,12.302285,0,0.856442,0.010147,0.087422,14.105696,46.106917,1995.724248,59103.517426,-57107.793178,3.507424,103.872614,-100.36519,1726.114735,3.033594,86.490643,0.980952,103,0.053879,25,0.946121,439,0.019048,2,0.804688,0.980952,0.88412,0.861278,0.986156,0.953571,0.876977,0.024303,0.975697,0.123023,?,0.876977,?,?,0.946859,0.878397,?,0.876977,0.047,0.002,0.046875,0.015625,46.875,15.625,330781,649091,80216,90.333919,4.855009,'Number of leaves: 351\nSize of the tree: 489\n',489,351,351
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,534,35,0,93.848858,6.151142,0,0.928405,0.00568,0.056163,7.895843,29.620395,1996.060549,1217.35955,778.700999,3.508015,2.139472,1.368543,1860.744654,3.270202,93.220852,0.971429,102,0.012931,6,0.987069,458,0.028571,3,0.944444,0.971429,0.957746,0.948161,0.998666,0.99362,0.938489,0.012695,0.987305,0.061511,0.940146,0.938489,0.937932,0.928601,0.997014,0.978934,0.951599,0.938489,0.054,0.002,0.046875,0,46.875,0,114707,649091,80216,99.121265,6.67106,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,528,41,0,92.794376,7.205624,0,0.916056,0.007713,0.062405,10.721262,32.906922,1996.818041,3396.663,-1399.84496,3.509346,5.969531,-2.460184,1820.032781,3.198652,91.146652,0.933962,99,0.017279,8,0.982721,455,0.066038,7,0.925234,0.933962,0.929577,0.913377,0.996292,0.980207,0.927944,0.016436,0.983564,0.072056,0.932321,0.927944,0.92805,0.916045,0.993877,0.966404,0.929352,0.927944,0.045,0.002,0.046875,0,46.875,0,114707,649091,80216,99.297012,8.238137,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,526,43,0,92.442882,7.557118,0,0.911768,0.00786,0.062768,10.926388,33.101938,1994.089887,1267.389522,726.700365,3.504552,2.227398,1.277154,1810.458784,3.181826,90.791232,0.943396,100,0.010799,5,0.989201,458,0.056604,6,0.952381,0.943396,0.947867,0.936017,0.996322,0.985466,0.924429,0.0178,0.9822,0.075571,0.93196,0.924429,0.925325,0.913504,0.995723,0.966742,0.919093,0.924429,0.052,0.009,0.0625,0,62.5,0,114707,649091,80216,98.594025,8.567663,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,532,37,0,93.497364,6.502636,0,0.924279,0.006744,0.058731,9.373441,30.965511,1996.742715,4447.113782,-2450.371067,3.509214,7.815666,-4.306452,1837.993293,3.230217,92.049581,0.962264,102,0.006479,3,0.993521,460,0.037736,4,0.971429,0.962264,0.966825,0.95929,0.994152,0.988612,0.934974,0.014353,0.985647,0.065026,?,0.934974,?,?,0.994185,0.971909,?,0.934974,0.062,0.003,0.0625,0.015625,62.5,15.625,115951,649091,80216,98.769772,7.374048,'Number of leaves: 141\nSize of the tree: 154\n',154,141,141
